stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
OOBUS149,Trower 149,"This stop is located on Trower Rd, Opp Alawa Cres",-12.38369,130.87107,1
OOBUS150,Water Gardens,"This stop is located on Trower Rd, Adj to Water Gardens",-12.38481,130.8671,1
OOBUS151,Rapid Creek 151,"This stop is located on Rapid Creek Rd, Opp Sprig St",-12.38758,130.86466,1
OOBUS152,Rapid Creek 152,"This stop is located on Rapid Creek Rd, Opp Robinson Rd",-12.39008,130.8669,1
OOBUS153,Rapid Creek 153,"This stop is located on Rapid Creek Rd, Adj to Stables",-12.39314,130.86886,1
OOBUS154,Old McMillan's 154,"This stop is located on Old McMillan's Rd, Opp Ryland Rd",-12.39516,130.8668,1
OOBUS155,Sabine 155,"This stop is located Sabine Rd, Opp Milner shops",-12.39349,130.86135,1
OOBUS156,Robinson 156,This stop is located on the Cnr Robinson Rd & Ryland Rd,-12.39137,130.86286,1
OOBUS157,Ryland 157,This stop is located on the Cnr Ryland Rd & Robinson Rd,-12.38969,130.86263,1
OOBUS158,Ryland 158,This stop is located on the Cnr Ryland Rd & Trower Rd,-12.38722,130.86153,1
OOBUS159,Cummins 159,"This stop is located on Cummins St, Opp St Paul's School",-12.3865,130.85743,1
OOBUS160,Francis 160,"This stop is located on Francis St, Opp St Paul's School",-12.38677,130.85911,1
OOBUS161,Alawa 161,"This stop is located on Alawa Cres, Opp Stobo Cres",-12.38201,130.87233,1
OOBUS162,Alawa 162,"This stop is located on Alawa Cres, Opp Davern St",-12.37981,130.87311,1
OOBUS163,Alawa Shops,"This stop is located on Alawa Cres, Adj to Alawa Shops",-12.3782,130.87518,1
OOBUS164,Scriven 164,This stop is located at 9 Scriven St,-12.37726,130.87664,1
OOBUS165,Forrest 165,This stop is located at 170 Forrest Parade Rosebery,-12.50949,130.99029,1
OOBUS166,Rapid Creek Shops,"This stop is located on Trower Rd, Adj to Rapid Creek Shops",-12.38633,130.86215,1
OOBUS167,Trower 167,"This stop is located on Trower Rd, Opp St Paul's School",-12.3881,130.85802,1
OOBUS168,Bagot 168,"This stop is located on Bagot Rd, Adj to Homemaker Village",-12.39405,130.85625,1
OOBUS169,Bunning's,"This stop is located on Bagot Rd, Adj to Bunning's",-12.40095,130.85625,1
OOBUS170,Bagot 170,"This stop is located on Bagot Rd, Opp Fitzer Drv",-12.41189,130.85629,1
OOBUS171,Bagot 171,"This stop is located on Bagot Rd, Adj to RAAF Base",-12.42066,130.85634,1
OOBUS172,Ludmilla School,"This stop is located on Bagot Rd, Opp Ludmilla School",-12.42395,130.85632,1
OOBUS173,Woolner Road,This stop is located on the Cnr Stuart Highway & Woolner Rd,-12.43388,130.84754,1
OOBUS174,Parap Road,"This stop is located on Stuart Highway, Opp Parap Rd",-12.43666,130.84302,1
OOBUS175,Stuart Highway 175,This stop is located on the Cnr Stuart Highway & Charles St,-12.44444,130.84124,1
OOBUS176,Stuart Highway 176,"This stop is located on Stuart Highway, Adj to Kerrys Mazda",-12.44969,130.84119,1
OOBUS177,Daly Street,This stop is located on the Cnr Daly St & Cavenagh St,-12.45726,130.83674,1
OOBUS178,Mitchell 178,"This stop is located on Mitchell St, Opp Entertainment Centre",-12.46095,130.83762,1
OOBUS179,Mitchell 179,"This stop is located on Mitchell St, Adj to Plaza Hotel",-12.46497,130.84186,1
OOBUS180,Darwin Interchange 180,"This stop is located at Darwin Interchange, Harry Chan Ave (Arr)",-12.46452,130.84472,1
OOBUS181,Stuart Highway 181,"This stop is located on Stuart Highway, Adj to Shiers St",-12.42801,130.85971,1
OOBUS182,Stuart Highway 182,"This stop is located on Stuart Highway, Adj to Winnellie Shops",-12.427,130.86201,1
